===============================================================================
Id,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,RSIMACDMultiTF,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000001.XSHE,000001.XSHE
49,000001.XSHE,49,2018-03-16 23:59:59.999989,1356.19,1371.23,1346.93,1346.93,832196.0,0.0,000001.XSHE,49,2018-03-16 23:59:59.999989,1356.19,1371.23,1346.93,1346.93,832196.0,0.0,RSIMACDMultiTF,49,736769.9999999999,Broker,49,15835.0,958686.0,BuySell,49,,,BuySell,49,,,DataTrades,49,,
50,000001.XSHE,50,2018-03-19 23:59:59.999989,1349.25,1370.08,1343.46,1368.92,698727.0,0.0,000001.XSHE,50,2018-03-19 23:59:59.999989,1349.25,1370.08,1343.46,1368.92,698727.0,0.0,RSIMACDMultiTF,50,736772.9999999999,Broker,50,15835.0,974079.0,BuySell,50,,,BuySell,50,,,DataTrades,50,,
51,000001.XSHE,51,2018-03-20 23:59:59.999989,1358.51,1374.71,1356.19,1367.76,670737.0,0.0,000001.XSHE,51,2018-03-20 23:59:59.999989,1358.51,1374.71,1356.19,1367.76,670737.0,0.0,RSIMACDMultiTF,51,736773.9999999999,Broker,51,15835.0,973267.0,BuySell,51,,,BuySell,51,,,DataTrades,51,,
52,000001.XSHE,52,2018-03-21 23:59:59.999989,1382.81,1402.48,1371.23,1377.02,1248842.0,0.0,000001.XSHE,52,2018-03-21 23:59:59.999989,1382.81,1402.48,1371.23,1377.02,1248842.0,0.0,RSIMACDMultiTF,52,736774.9999999999,Broker,52,15835.0,979749.0,BuySell,52,,,BuySell,52,,,DataTrades,52,,
53,000001.XSHE,53,2018-03-22 23:59:59.999989,1377.02,1385.12,1344.62,1349.25,850598.0,0.0,000001.XSHE,53,2018-03-22 23:59:59.999989,1377.02,1385.12,1344.62,1349.25,850598.0,0.0,RSIMACDMultiTF,53,736775.9999999999,Broker,53,15835.0,960310.0,BuySell,53,,,BuySell,53,,,DataTrades,53,,
54,000001.XSHE,54,2018-03-23 23:59:59.999989,1301.8,1313.38,1263.62,1312.22,1577734.0,0.0,000001.XSHE,54,2018-03-23 23:59:59.999989,1301.8,1313.38,1263.62,1312.22,1577734.0,0.0,RSIMACDMultiTF,54,736776.9999999999,Broker,54,927095.0,927095.0,BuySell,54,,1333.0807,BuySell,54,,,DataTrades,54,-72905.00000000006,
55,000001.XSHE,55,2018-03-26 23:59:59.999989,1290.23,1296.02,1256.68,1264.78,1195685.0,0.0,000001.XSHE,55,2018-03-26 23:59:59.999989,1290.23,1296.02,1256.68,1264.78,1195685.0,0.0,RSIMACDMultiTF,55,736779.9999999999,Broker,55,927095.0,927095.0,BuySell,55,,,BuySell,55,,,DataTrades,55,,
56,000001.XSHE,56,2018-03-27 23:59:59.999989,1284.45,1292.55,1256.68,1265.93,954003.0,0.0,000001.XSHE,56,2018-03-27 23:59:59.999989,1284.45,1292.55,1256.68,1265.93,954003.0,0.0,RSIMACDMultiTF,56,736780.9999999999,Broker,56,927095.0,927095.0,BuySell,56,,,BuySell,56,,,DataTrades,56,,
57,000001.XSHE,57,2018-03-28 23:59:59.999989,1255.52,1289.08,1248.58,1260.15,949759.0,0.0,000001.XSHE,57,2018-03-28 23:59:59.999989,1255.52,1289.08,1248.58,1260.15,949759.0,0.0,RSIMACDMultiTF,57,736781.9999999999,Broker,57,927095.0,927095.0,BuySell,57,,,BuySell,57,,,DataTrades,57,,
58,000001.XSHE,58,2018-03-29 23:59:59.999989,1263.62,1292.55,1220.8,1278.66,1149886.0,0.0,000001.XSHE,58,2018-03-29 23:59:59.999989,1263.62,1292.55,1220.8,1278.66,1149886.0,0.0,RSIMACDMultiTF,58,736782.9999999999,Broker,58,927095.0,927095.0,BuySell,58,,,BuySell,58,,,DataTrades,58,,
59,000001.XSHE,59,2018-03-30 23:59:59.999989,1277.5,1278.66,1258.99,1261.3,650017.0,0.0,000001.XSHE,59,2018-03-30 23:59:59.999989,1277.5,1278.66,1258.99,1261.3,650017.0,0.0,RSIMACDMultiTF,59,736783.9999999999,Broker,59,927095.0,927095.0,BuySell,59,,,BuySell,59,,,DataTrades,59,,
60,000001.XSHE,60,2018-04-02 23:59:59.999989,1257.83,1271.72,1238.16,1239.32,958654.0,0.0,000001.XSHE,60,2018-04-02 23:59:59.999989,1257.83,1271.72,1238.16,1239.32,958654.0,0.0,RSIMACDMultiTF,60,736786.9999999999,Broker,60,927095.0,927095.0,BuySell,60,,,BuySell,60,,,DataTrades,60,,
