===============================================================================
Id,000012.XSHE,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,PivotMultiTF,len,datetime,LinesCoupler_6,len,p,s1,s2,r1,r2,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000012.XSHE,
352,000012.XSHE,352,2019-06-17 23:59:59.999989,128.9,130.05,127.48,128.33,213889.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,352,737227.9999999999,LinesCoupler_6,352,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,352,33763.85000000009,1175900.85,BuySell,352,,,BuySell,17,,,DataTrades,352,,
353,000012.XSHE,353,2019-06-18 23:59:59.999989,128.33,128.9,126.9,128.33,181017.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,353,737228.9999999999,LinesCoupler_6,353,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,353,33763.85000000009,1175900.85,BuySell,353,,,BuySell,17,,,DataTrades,353,,
354,000012.XSHE,354,2019-06-19 23:59:59.999989,130.05,131.48,128.9,129.19,350689.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,354,737229.9999999999,LinesCoupler_6,354,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,354,33763.85000000009,1183554.85,BuySell,354,,,BuySell,17,,,DataTrades,354,,
355,000012.XSHE,355,2019-06-20 23:59:59.999989,129.76,132.62,129.48,132.62,463127.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,355,737230.9999999999,LinesCoupler_6,355,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,355,33763.85000000009,1214081.85,BuySell,355,,,BuySell,17,,,DataTrades,355,,
356,000012.XSHE,356,2019-06-21 23:59:59.999989,135.48,135.48,132.91,134.05,404892.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,356,737231.9999999999,LinesCoupler_6,356,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,356,33763.85000000009,1226808.85,BuySell,356,,,BuySell,17,,,DataTrades,356,,
357,000012.XSHE,357,2019-06-24 23:59:59.999989,134.05,134.34,132.91,134.05,248962.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,357,737234.9999999999,LinesCoupler_6,357,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,357,33763.85000000009,1226808.85,BuySell,357,,,BuySell,17,,,DataTrades,357,,
358,000012.XSHE,358,2019-06-25 23:59:59.999989,134.34,134.34,130.62,133.19,287284.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,358,737235.9999999999,LinesCoupler_6,358,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,358,33763.85000000009,1219154.85,BuySell,358,,,BuySell,17,,,DataTrades,358,,
359,000012.XSHE,359,2019-06-26 23:59:59.999989,134.15,134.78,132.87,134.46,384882.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,359,737236.9999999999,LinesCoupler_6,359,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,359,33763.85000000009,1230457.85,BuySell,359,,,BuySell,17,,,DataTrades,359,,
360,000012.XSHE,360,2019-06-27 23:59:59.999989,134.46,135.1,133.51,133.83,301530.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,360,737237.9999999999,LinesCoupler_6,360,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,360,33763.85000000009,1224850.85,BuySell,360,,,BuySell,17,,,DataTrades,360,,
361,000012.XSHE,361,2019-06-28 23:59:59.999989,133.83,134.15,130.97,132.24,215228.0,0.0,,17,2019-05-31 23:59:59.999989,138.62,138.62,129.19,133.19,6225364.0,0.0,PivotMultiTF,361,737238.9999999999,LinesCoupler_6,361,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,361,33763.85000000009,1210699.85,BuySell,361,,,BuySell,17,,,DataTrades,361,,
362,000012.XSHE,362,2019-07-01 23:59:59.999989,134.15,140.5,133.83,138.28,694390.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,362,737241.9999999999,LinesCoupler_6,362,133.66666666666666,128.7133333333333,124.23666666666665,138.14333333333332,143.09666666666666,Broker,362,33763.85000000009,1264455.85,BuySell,362,,,BuySell,18,,,DataTrades,362,,
363,000012.XSHE,363,2019-07-02 23:59:59.999989,137.01,137.64,135.42,136.37,376229.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,363,737242.9999999999,LinesCoupler_6,363,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,363,33763.85000000009,1247456.85,BuySell,363,,,BuySell,18,,,DataTrades,363,,
364,000012.XSHE,364,2019-07-03 23:59:59.999989,136.37,136.37,134.15,134.78,251591.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,364,737243.9999999999,LinesCoupler_6,364,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,364,33763.85000000009,1233305.85,BuySell,364,,,BuySell,18,,,DataTrades,364,,
365,000012.XSHE,365,2019-07-04 23:59:59.999989,134.46,137.01,134.15,135.1,199795.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,365,737244.9999999999,LinesCoupler_6,365,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,365,33763.85000000009,1236153.85,BuySell,365,,,BuySell,18,,,DataTrades,365,,
366,000012.XSHE,366,2019-07-05 23:59:59.999989,135.1,136.37,134.15,135.74,161564.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,366,737245.9999999999,LinesCoupler_6,366,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,366,33763.85000000009,1241849.85,BuySell,366,,,BuySell,18,,,DataTrades,366,,
367,000012.XSHE,367,2019-07-08 23:59:59.999989,135.1,135.42,130.33,131.28,355357.0,0.0,,18,2019-06-28 23:59:59.999989,132.62,135.76,122.9,132.24,6258086.0,0.0,PivotMultiTF,367,737248.9999999999,LinesCoupler_6,367,130.29999999999998,124.83999999999997,117.44,137.69999999999996,143.15999999999997,Broker,367,1202921.25,1202921.25,BuySell,367,,137.45129999999997,BuySell,18,,,DataTrades,367,-8579.599999999988,
